,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Data Transfer/Transmission/Wireless Range-SA,4,0,4,1,1513,0.0,0.0,1.0,1.0
1,Data Transfer/Transmission/Cloud Connectivity-SA,39,17,22,0,1479,0.4358974358974359,1.0,0.0,0.5641025641025641
2,Data Transfer/Transmission/Wireless Connectivity-SA,235,182,53,51,1232,0.774468085106383,0.7811158798283262,0.21888412017167383,0.225531914893617
3,Data Transfer/Transmission/Wireless Setup-SA,186,159,27,29,1303,0.8548387096774194,0.8457446808510638,0.15425531914893617,0.14516129032258066
4,Data Transfer/Transmission/Data Transfer Error-SA,20,3,17,14,1484,0.15,0.17647058823529413,0.8235294117647058,0.85
5,Body/Design/Ergonomics -SA,12,1,11,2,1504,0.08333333333333333,0.3333333333333333,0.6666666666666666,0.9166666666666666
6,Body/Design/I/O Port(s)-SA,1,0,1,0,1517,NA,NA,NA,NA
7,Body/Design/Size-SA,52,35,17,17,1449,0.6730769230769231,0.6730769230769231,0.3269230769230769,0.3269230769230769
8,Body/Design/Weight-SA,9,1,8,0,1509,0.1111111111111111,1.0,0.0,0.8888888888888888
9,Body/Design/Controls/Buttons-SA,6,0,6,0,1512,NA,NA,NA,NA
10,Body/Design/Power On/Off-SA,8,1,7,2,1508,0.125,0.3333333333333333,0.6666666666666666,0.875
11,Body/Design/Initialization Speed-SA,72,48,24,14,1432,0.6666666666666666,0.7741935483870968,0.22580645161290322,0.3333333333333333
12,Body/Design/Build Quality-SA,67,23,44,20,1431,0.34328358208955223,0.5348837209302325,0.46511627906976744,0.6567164179104478
13,Body/Design/Audible Noise-SA,103,75,28,8,1407,0.7281553398058253,0.9036144578313253,0.0963855421686747,0.27184466019417475
14,Body/Design/Indicator Light-SA,6,3,3,0,1512,0.5,1.0,0.0,0.5
15,Body/Design/Unit Locks Up-SA,4,0,4,1,1513,0.0,0.0,1.0,1.0
16,OS Compatibility/Android Compatibility-SA,5,1,4,0,1513,0.2,1.0,0.0,0.8
17,OS Compatibility/iOS Compatibility-SA,28,13,15,0,1490,0.4642857142857143,1.0,0.0,0.5357142857142857
18,OS Compatibility/Mac Compatibility-SA,65,53,12,12,1441,0.8153846153846154,0.8153846153846154,0.18461538461538463,0.18461538461538463
19,OS Compatibility/Windows Compatibility-SA,125,110,15,7,1386,0.88,0.9401709401709402,0.05982905982905983,0.12
20,OS Compatibility/Other OS Compatibility-SA,6,0,6,0,1512,NA,NA,NA,NA
21,OS Compatibility/Windows Mobile Compatibility-SA,0,0,0,0,1518,NA,NA,NA,NA
22,OS Compatibility/Non-Specific O.S. Compatibility-SA,3,0,3,0,1515,NA,NA,NA,NA
23,Print Quality/Color Print Quality-SA,56,33,23,22,1440,0.5892857142857143,0.6,0.4,0.4107142857142857
24,Print Quality/Overall Print Quality-SA,93,48,45,34,1391,0.5161290322580645,0.5853658536585366,0.4146341463414634,0.4838709677419355
25,Print Quality/Monochrome Print Quality-SA,25,7,18,6,1487,0.28,0.5384615384615384,0.46153846153846156,0.72
26,Print Quality/Print Speed-SA,56,41,15,28,1434,0.7321428571428571,0.5942028985507246,0.4057971014492754,0.26785714285714285
27,Print Quality/Borders/Margins-SA,4,0,4,0,1514,NA,NA,NA,NA
28,Print Quality/Duplex Printing-SA,19,2,17,0,1499,0.10526315789473684,1.0,0.0,0.8947368421052632
29,Print Quality/Print Banding-SA,1,0,1,0,1517,NA,NA,NA,NA
30,Print Quality/Print Permanence-SA,0,0,0,0,1518,NA,NA,NA,NA
31,Error Messages/Busy Message-SA,1,1,0,0,1517,1.0,1.0,0.0,0.0
32,Error Messages/Error 1007-SA,3,1,2,0,1515,0.3333333333333333,1.0,0.0,0.6666666666666666
