,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Data Transfer/Transmission/Wireless Range-SA/Positive,1,0,1,0,1517,NA,NA,NA,NA
1,Data Transfer/Transmission/Wireless Range-SA/Negative,2,0,2,0,1516,NA,NA,NA,NA
2,Data Transfer/Transmission/Wireless Range-SA/Neutral,1,0,1,0,1517,NA,NA,NA,NA
3,Data Transfer/Transmission/Cloud Connectivity-SA/Positive,15,1,14,0,1503,0.06666666666666667,1.0,0.0,0.9333333333333333
4,Data Transfer/Transmission/Cloud Connectivity-SA/Negative,12,6,6,0,1506,0.5,1.0,0.0,0.5
5,Data Transfer/Transmission/Cloud Connectivity-SA/Neutral,12,7,5,1,1505,0.5833333333333334,0.875,0.125,0.4166666666666667
6,Data Transfer/Transmission/Wireless Connectivity-SA/Positive,45,11,34,10,1463,0.24444444444444444,0.5238095238095238,0.47619047619047616,0.7555555555555555
7,Data Transfer/Transmission/Wireless Connectivity-SA/Negative,94,50,44,40,1384,0.5319148936170213,0.5555555555555556,0.4444444444444444,0.46808510638297873
8,Data Transfer/Transmission/Wireless Connectivity-SA/Neutral,100,49,51,48,1370,0.49,0.5051546391752577,0.4948453608247423,0.51
9,Data Transfer/Transmission/Wireless Setup-SA/Positive,60,41,19,19,1439,0.6833333333333333,0.6833333333333333,0.31666666666666665,0.31666666666666665
10,Data Transfer/Transmission/Wireless Setup-SA/Negative,27,7,20,17,1474,0.25925925925925924,0.2916666666666667,0.7083333333333334,0.7407407407407407
11,Data Transfer/Transmission/Wireless Setup-SA/Neutral,100,53,47,24,1394,0.53,0.6883116883116883,0.3116883116883117,0.47
12,Data Transfer/Transmission/Data Transfer Error-SA/Positive,0,0,0,0,1518,NA,NA,NA,NA
13,Data Transfer/Transmission/Data Transfer Error-SA/Negative,19,2,17,22,1477,0.10526315789473684,0.08333333333333333,0.9166666666666666,0.8947368421052632
14,Data Transfer/Transmission/Data Transfer Error-SA/Neutral,1,0,1,0,1517,NA,NA,NA,NA
15,Body/Design/Ergonomics -SA/Positive,4,0,4,0,1514,NA,NA,NA,NA
16,Body/Design/Ergonomics -SA/Negative,5,2,3,2,1511,0.4,0.5,0.5,0.6
17,Body/Design/Ergonomics -SA/Neutral,3,0,3,0,1515,NA,NA,NA,NA
18,Overall,501,229,272,183,26640,0.45708582834331335,0.5558252427184466,0.4441747572815534,0.5429141716566867
