,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Data Transfer/Transmission/Wireless Range-SA,4,0,4,1,1513,0.0,0.0,1.0,1.0
1,Data Transfer/Transmission/Cloud Connectivity-SA,39,20,19,8,1471,0.5128205128205128,0.7142857142857143,0.2857142857142857,0.48717948717948717
2,Data Transfer/Transmission/Wireless Connectivity-SA,235,175,60,42,1241,0.7446808510638298,0.8064516129032258,0.1935483870967742,0.2553191489361702
3,Data Transfer/Transmission/Wireless Setup-SA,186,131,55,40,1292,0.7043010752688172,0.7660818713450293,0.23391812865497075,0.2956989247311828
4,Data Transfer/Transmission/Data Transfer Error-SA,20,8,12,13,1485,0.4,0.38095238095238093,0.6190476190476191,0.6
5,Body/Design/Ergonomics -SA,12,3,9,5,1501,0.25,0.375,0.625,0.75
6,Body/Design/I/O Port(s)-SA,1,0,1,0,1517,NA,NA,NA,NA
7,Body/Design/Size-SA,52,29,23,25,1441,0.5576923076923077,0.5370370370370371,0.46296296296296297,0.4423076923076923
8,Body/Design/Weight-SA,9,0,9,0,1509,NA,NA,NA,NA
9,Body/Design/Controls/Buttons-SA,6,0,6,1,1511,0.0,0.0,1.0,1.0
10,Body/Design/Power On/Off-SA,8,1,7,3,1507,0.125,0.25,0.75,0.875
11,Body/Design/Initialization Speed-SA,72,34,38,9,1437,0.4722222222222222,0.7906976744186046,0.20930232558139536,0.5277777777777778
12,Body/Design/Build Quality-SA,67,19,48,6,1445,0.2835820895522388,0.76,0.24,0.7164179104477612
13,Body/Design/Audible Noise-SA,103,70,33,11,1404,0.6796116504854369,0.8641975308641975,0.13580246913580246,0.32038834951456313
14,Body/Design/Indicator Light-SA,6,3,3,0,1512,0.5,1.0,0.0,0.5
15,Body/Design/Unit Locks Up-SA,4,0,4,2,1512,0.0,0.0,1.0,1.0
16,OS Compatibility/Android Compatibility-SA,5,0,5,0,1513,NA,NA,NA,NA
17,OS Compatibility/iOS Compatibility-SA,28,19,9,1,1489,0.6785714285714286,0.95,0.05,0.32142857142857145
18,OS Compatibility/Mac Compatibility-SA,65,49,16,6,1447,0.7538461538461538,0.8909090909090909,0.10909090909090909,0.24615384615384617
19,OS Compatibility/Windows Compatibility-SA,125,111,14,3,1390,0.888,0.9736842105263158,0.02631578947368421,0.112
20,OS Compatibility/Other OS Compatibility-SA,6,0,6,0,1512,NA,NA,NA,NA
21,OS Compatibility/Windows Mobile Compatibility-SA,0,0,0,0,1518,NA,NA,NA,NA
22,OS Compatibility/Non-Specific O.S. Compatibility-SA,3,1,2,2,1513,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666
23,Print Quality/Color Print Quality-SA,56,21,35,16,1446,0.375,0.5675675675675675,0.43243243243243246,0.625
24,Print Quality/Overall Print Quality-SA,93,47,46,16,1409,0.5053763440860215,0.746031746031746,0.25396825396825395,0.4946236559139785
25,Print Quality/Monochrome Print Quality-SA,25,9,16,13,1480,0.36,0.4090909090909091,0.5909090909090909,0.64
26,Print Quality/Print Speed-SA,56,38,18,35,1427,0.6785714285714286,0.5205479452054794,0.4794520547945205,0.32142857142857145
27,Print Quality/Borders/Margins-SA,4,0,4,0,1514,NA,NA,NA,NA
28,Print Quality/Duplex Printing-SA,19,4,15,3,1496,0.21052631578947367,0.5714285714285714,0.42857142857142855,0.7894736842105263
29,Print Quality/Print Banding-SA,1,0,1,2,1515,0.0,0.0,1.0,1.0
30,Print Quality/Print Permanence-SA,0,0,0,0,1518,NA,NA,NA,NA
31,Error Messages/Busy Message-SA,1,1,0,0,1517,1.0,1.0,0.0,0.0
32,Error Messages/Error 1007-SA,3,0,3,0,1515,NA,NA,NA,NA
33,Error Messages/Error 1008-SA,3,0,3,0,1515,NA,NA,NA,NA
34,Error Messages/Error 1403-SA,1,0,1,0,1517,NA,NA,NA,NA
35,Error Messages/Error 2500-SA,2,0,2,0,1516,NA,NA,NA,NA
36,Error Messages/Error 5011-SA,2,0,2,0,1516,NA,NA,NA,NA
37,Error Messages/Error 5100-SA,0,0,0,1,1517,NA,NA,NA,NA
38,Error Messages/Error 6000-SA,4,2,2,1,1513,0.5,0.6666666666666666,0.3333333333333333,0.5
39,Error Messages/Error 6001-SA,2,0,2,1,1515,0.0,0.0,1.0,1.0
40,Error Messages/Error B200-SA,15,8,7,0,1503,0.5333333333333333,1.0,0.0,0.4666666666666667
41,Error Messages/Error U052-SA,0,0,0,0,1518,NA,NA,NA,NA
42,Error Messages/Memory Card Error-SA,0,0,0,0,1518,NA,NA,NA,NA
43,Error Messages/Non-specific/Unknown-SA,64,42,22,22,1432,0.65625,0.65625,0.34375,0.34375
44,Error Messages/Scanner Error-SA,6,3,3,2,1510,0.5,0.6,0.4,0.5
45,Error Messages/Unrecognized Ink Tank-SA,1,0,1,0,1517,NA,NA,NA,NA
46,Error Messages/Paper Jam-SA,38,24,14,11,1469,0.631578947368421,0.6857142857142857,0.3142857142857143,0.3684210526315789
47,Ink/Ink Consumption-SA,85,59,26,32,1401,0.6941176470588235,0.6483516483516484,0.3516483516483517,0.3058823529411765
48,Ink/Clogged Nozzles-SA,5,1,4,6,1507,0.2,0.14285714285714285,0.8571428571428571,0.8
49,Ink/Bad Chip-SA,2,0,2,0,1516,NA,NA,NA,NA
50,Ink/Ink Tank Capacity-SA,12,3,9,3,1503,0.25,0.5,0.5,0.75
51,Ink/Ink Level Warning-SA,9,4,5,15,1494,0.4444444444444444,0.21052631578947367,0.7894736842105263,0.5555555555555556
