,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Data Transfer/Transmission/Wireless Range-SA,4,0,4,0,1514,NA,NA,NA,NA
1,Data Transfer/Transmission/Cloud Connectivity-SA,39,19,20,15,1464,0.48717948717948717,0.5588235294117647,0.4411764705882353,0.5128205128205128
2,Data Transfer/Transmission/Wireless Connectivity-SA,235,174,61,67,1216,0.7404255319148936,0.7219917012448133,0.27800829875518673,0.25957446808510637
3,Data Transfer/Transmission/Wireless Setup-SA,186,99,87,5,1327,0.532258064516129,0.9519230769230769,0.04807692307692308,0.46774193548387094
4,Data Transfer/Transmission/Data Transfer Error-SA,20,2,18,7,1491,0.1,0.2222222222222222,0.7777777777777778,0.9
5,Body/Design/Ergonomics -SA,12,0,12,1,1505,0.0,0.0,1.0,1.0
6,Body/Design/I/O Port(s)-SA,1,0,1,0,1517,NA,NA,NA,NA
7,Body/Design/Size-SA,52,17,35,5,1461,0.3269230769230769,0.7727272727272727,0.22727272727272727,0.6730769230769231
8,Body/Design/Weight-SA,9,0,9,0,1509,NA,NA,NA,NA
9,Body/Design/Controls/Buttons-SA,6,0,6,0,1512,NA,NA,NA,NA
10,Body/Design/Power On/Off-SA,8,0,8,0,1510,NA,NA,NA,NA
11,Body/Design/Initialization Speed-SA,72,46,26,11,1435,0.6388888888888888,0.8070175438596491,0.19298245614035087,0.3611111111111111
12,Body/Design/Build Quality-SA,67,9,58,9,1442,0.13432835820895522,0.5,0.5,0.8656716417910447
13,Body/Design/Audible Noise-SA,103,30,73,35,1380,0.2912621359223301,0.46153846153846156,0.5384615384615384,0.7087378640776699
14,Body/Design/Indicator Light-SA,6,0,6,0,1512,NA,NA,NA,NA
15,Body/Design/Unit Locks Up-SA,4,0,4,0,1514,NA,NA,NA,NA
16,OS Compatibility/Android Compatibility-SA,5,0,5,0,1513,NA,NA,NA,NA
17,OS Compatibility/iOS Compatibility-SA,28,10,18,5,1485,0.35714285714285715,0.6666666666666666,0.3333333333333333,0.6428571428571429
18,OS Compatibility/Mac Compatibility-SA,65,33,32,1,1452,0.5076923076923077,0.9705882352941176,0.029411764705882353,0.49230769230769234
19,OS Compatibility/Windows Compatibility-SA,125,112,13,2,1391,0.896,0.9824561403508771,0.017543859649122806,0.104
20,OS Compatibility/Other OS Compatibility-SA,6,0,6,0,1512,NA,NA,NA,NA
21,OS Compatibility/Windows Mobile Compatibility-SA,0,0,0,0,1518,NA,NA,NA,NA
22,OS Compatibility/Non-Specific O.S. Compatibility-SA,3,0,3,0,1515,NA,NA,NA,NA
23,Print Quality/Color Print Quality-SA,56,21,35,17,1445,0.375,0.5526315789473685,0.4473684210526316,0.625
24,Print Quality/Overall Print Quality-SA,93,40,53,67,1358,0.43010752688172044,0.37383177570093457,0.6261682242990654,0.5698924731182796
25,Print Quality/Monochrome Print Quality-SA,25,2,23,7,1486,0.08,0.2222222222222222,0.7777777777777778,0.92
26,Print Quality/Print Speed-SA,56,28,28,31,1431,0.5,0.4745762711864407,0.5254237288135594,0.5
27,Print Quality/Borders/Margins-SA,4,0,4,0,1514,NA,NA,NA,NA
28,Print Quality/Duplex Printing-SA,19,2,17,2,1497,0.10526315789473684,0.5,0.5,0.8947368421052632
29,Print Quality/Print Banding-SA,1,0,1,0,1517,NA,NA,NA,NA
30,Print Quality/Print Permanence-SA,0,0,0,0,1518,NA,NA,NA,NA
31,Error Messages/Busy Message-SA,1,1,0,0,1517,1.0,1.0,0.0,0.0
32,Error Messages/Error 1007-SA,3,0,3,0,1515,NA,NA,NA,NA
33,Error Messages/Error 1008-SA,3,0,3,0,1515,NA,NA,NA,NA
34,Error Messages/Error 1403-SA,1,0,1,0,1517,NA,NA,NA,NA
35,Error Messages/Error 2500-SA,2,0,2,0,1516,NA,NA,NA,NA
36,Error Messages/Error 5011-SA,2,0,2,0,1516,NA,NA,NA,NA
37,Error Messages/Error 5100-SA,0,0,0,0,1518,NA,NA,NA,NA
38,Error Messages/Error 6000-SA,4,0,4,0,1514,NA,NA,NA,NA
39,Error Messages/Error 6001-SA,2,0,2,0,1516,NA,NA,NA,NA
40,Error Messages/Error B200-SA,15,4,11,0,1503,0.26666666666666666,1.0,0.0,0.7333333333333333
41,Error Messages/Error U052-SA,0,0,0,0,1518,NA,NA,NA,NA
42,Error Messages/Memory Card Error-SA,0,0,0,0,1518,NA,NA,NA,NA
43,Error Messages/Non-specific/Unknown-SA,64,34,30,17,1437,0.53125,0.6666666666666666,0.3333333333333333,0.46875
44,Error Messages/Scanner Error-SA,6,2,4,0,1512,0.3333333333333333,1.0,0.0,0.6666666666666666
45,Error Messages/Unrecognized Ink Tank-SA,1,0,1,0,1517,NA,NA,NA,NA
46,Error Messages/Paper Jam-SA,38,28,10,38,1442,0.7368421052631579,0.42424242424242425,0.5757575757575758,0.2631578947368421
47,Ink/Ink Consumption-SA,85,53,32,25,1408,0.6235294117647059,0.6794871794871795,0.32051282051282054,0.3764705882352941
48,Ink/Clogged Nozzles-SA,5,0,5,0,1513,NA,NA,NA,NA
49,Ink/Bad Chip-SA,2,0,2,0,1516,NA,NA,NA,NA
50,Ink/Ink Tank Capacity-SA,12,0,12,0,1506,NA,NA,NA,NA
51,Ink/Ink Level Warning-SA,9,3,6,1,1508,0.3333333333333333,0.75,0.25,0.6666666666666666
52,Printing Media/Paper Feed-SA,89,53,36,24,1405,0.5955056179775281,0.6883116883116883,0.3116883116883117,0.4044943820224719
53,Printing Media/CD/DVD Printing-SA,20,0,20,0,1498,NA,NA,NA,NA
54,Printing Media/Media Size-SA,4,0,4,0,1514,NA,NA,NA,NA
55,Retail Experience/Selling Price-SA,109,68,41,8,1401,0.6238532110091743,0.8947368421052632,0.10526315789473684,0.3761467889908257
56,Customer Care/Agent Follow Up-SA,2,0,2,0,1516,NA,NA,NA,NA
57,Customer Care/Agent Knowledge-SA,14,1,13,5,1499,0.07142857142857142,0.16666666666666666,0.8333333333333334,0.9285714285714286
58,Customer Care/Email Support-SA,4,0,4,0,1514,NA,NA,NA,NA
59,Customer Care/Hours of Operation-SA,3,0,3,0,1515,NA,NA,NA,NA
60,Customer Care/Warranty Terms-SA,1,0,1,0,1517,NA,NA,NA,NA
