,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Data Transfer/Transmission/Wireless Range-SA,4,0,4,0,1514,NA,NA,NA,NA
1,Data Transfer/Transmission/Cloud Connectivity-SA,39,17,22,9,1470,0.4358974358974359,0.6538461538461539,0.34615384615384615,0.5641025641025641
2,Data Transfer/Transmission/Wireless Connectivity-SA,235,211,24,117,1166,0.8978723404255319,0.6432926829268293,0.3567073170731707,0.10212765957446808
3,Data Transfer/Transmission/Wireless Setup-SA,186,146,40,31,1301,0.7849462365591398,0.8248587570621468,0.1751412429378531,0.21505376344086022
4,Data Transfer/Transmission/Data Transfer Error-SA,20,5,15,22,1476,0.25,0.18518518518518517,0.8148148148148148,0.75
5,Body/Design/Ergonomics -SA,12,0,12,0,1506,NA,NA,NA,NA
6,Body/Design/I/O Port(s)-SA,1,0,1,0,1517,NA,NA,NA,NA
7,Body/Design/Size-SA,52,22,30,4,1462,0.4230769230769231,0.8461538461538461,0.15384615384615385,0.5769230769230769
8,Body/Design/Weight-SA,9,0,9,0,1509,NA,NA,NA,NA
9,Body/Design/Controls/Buttons-SA,6,0,6,0,1512,NA,NA,NA,NA
10,Body/Design/Power On/Off-SA,8,0,8,0,1510,NA,NA,NA,NA
11,Body/Design/Initialization Speed-SA,72,46,26,19,1427,0.6388888888888888,0.7076923076923077,0.2923076923076923,0.3611111111111111
12,Body/Design/Build Quality-SA,67,11,56,3,1448,0.16417910447761194,0.7857142857142857,0.21428571428571427,0.835820895522388
13,Body/Design/Audible Noise-SA,103,70,33,11,1404,0.6796116504854369,0.8641975308641975,0.13580246913580246,0.32038834951456313
14,Body/Design/Indicator Light-SA,6,0,6,0,1512,NA,NA,NA,NA
15,Body/Design/Unit Locks Up-SA,4,0,4,0,1514,NA,NA,NA,NA
16,OS Compatibility/Android Compatibility-SA,5,0,5,5,1508,0.0,0.0,1.0,1.0
17,OS Compatibility/iOS Compatibility-SA,28,15,13,6,1484,0.5357142857142857,0.7142857142857143,0.2857142857142857,0.4642857142857143
18,OS Compatibility/Mac Compatibility-SA,65,46,19,11,1442,0.7076923076923077,0.8070175438596491,0.19298245614035087,0.2923076923076923
19,OS Compatibility/Windows Compatibility-SA,125,111,14,3,1390,0.888,0.9736842105263158,0.02631578947368421,0.112
20,OS Compatibility/Other OS Compatibility-SA,6,0,6,0,1512,NA,NA,NA,NA
21,OS Compatibility/Windows Mobile Compatibility-SA,0,0,0,0,1518,NA,NA,NA,NA
