,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,209,16,18,1153,0.9288888888888889,0.920704845814978,0.07929515418502203,0.07111111111111111
1,Wireless Connectivity,241,197,44,49,1106,0.8174273858921162,0.8008130081300813,0.1991869918699187,0.1825726141078838
2,Windows Compatibility,132,114,18,2,1262,0.8636363636363636,0.9827586206896551,0.017241379310344827,0.13636363636363635
3,Selling Price,84,71,13,35,1277,0.8452380952380952,0.6698113207547169,0.330188679245283,0.15476190476190477
4,Paper Feed,81,57,24,12,1303,0.7037037037037037,0.8260869565217391,0.17391304347826086,0.2962962962962963
5,Overall Print Quality,121,84,37,49,1226,0.6942148760330579,0.631578947368421,0.3684210526315789,0.30578512396694213
6,Non-specific/Unknown,109,91,18,3,1284,0.8348623853211009,0.9680851063829787,0.031914893617021274,0.1651376146788991
7,iOS Compatibility,105,95,10,5,1286,0.9047619047619048,0.95,0.05,0.09523809523809523
8,Ink Consumption,123,85,38,16,1257,0.6910569105691057,0.8415841584158416,0.15841584158415842,0.3089430894308943
9,Competitor Product Comparison,87,77,10,4,1305,0.8850574712643678,0.9506172839506173,0.04938271604938271,0.11494252873563218
10,Audible Noise,90,64,26,10,1296,0.7111111111111111,0.8648648648648649,0.13513513513513514,0.28888888888888886
11,Overall Customer Service,76,67,9,12,1308,0.881578947368421,0.8481012658227848,0.1518987341772152,0.11842105263157894
12,Cloud Connectivity,44,23,21,3,1349,0.5227272727272727,0.8846153846153846,0.11538461538461539,0.4772727272727273
13,Paper Jam,31,22,9,4,1361,0.7096774193548387,0.8461538461538461,0.15384615384615385,0.2903225806451613
14,Color Print Quality,46,29,17,36,1314,0.6304347826086957,0.4461538461538462,0.5538461538461539,0.3695652173913043
15,Monochrome Print Quality,32,12,20,10,1354,0.375,0.5454545454545454,0.45454545454545453,0.625
16,Build Quality,78,56,22,62,1256,0.717948717948718,0.4745762711864407,0.5254237288135594,0.28205128205128205
17,Print Speed,49,26,23,5,1342,0.5306122448979592,0.8387096774193549,0.16129032258064516,0.46938775510204084
18,CD/DVD Printing,8,1,7,5,1383,0.125,0.16666666666666666,0.8333333333333334,0.875
19,Initialization Speed,70,47,23,24,1302,0.6714285714285714,0.6619718309859155,0.3380281690140845,0.32857142857142857
20,Driver Performance,46,38,8,16,1334,0.8260869565217391,0.7037037037037037,0.2962962962962963,0.17391304347826086
21,Overall,1878,1465,413,380,27058,0.7800851970181044,0.7940379403794038,0.20596205962059622,0.21991480298189564
