,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,155,70,0,1171,0.6888888888888889,1.0,0.0,0.3111111111111111
1,Wireless Connectivity,241,201,40,77,1078,0.8340248962655602,0.7230215827338129,0.27697841726618705,0.16597510373443983
2,Windows Compatibility,132,110,22,1,1263,0.8333333333333334,0.990990990990991,0.009009009009009009,0.16666666666666666
3,Selling Price,84,70,14,14,1298,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666
4,Paper Feed,81,58,23,16,1299,0.7160493827160493,0.7837837837837838,0.21621621621621623,0.2839506172839506
5,Overall Print Quality,121,75,46,33,1242,0.6198347107438017,0.6944444444444444,0.3055555555555556,0.38016528925619836
6,Non-specific/Unknown,109,81,28,2,1285,0.7431192660550459,0.9759036144578314,0.024096385542168676,0.25688073394495414
7,iOS Compatibility,105,94,11,9,1282,0.8952380952380953,0.912621359223301,0.08737864077669903,0.10476190476190476
8,Ink Consumption,123,99,24,27,1246,0.8048780487804879,0.7857142857142857,0.21428571428571427,0.1951219512195122
9,Competitor Product Comparison,87,79,8,4,1305,0.9080459770114943,0.9518072289156626,0.04819277108433735,0.09195402298850575
10,Audible Noise,90,65,25,14,1292,0.7222222222222222,0.8227848101265823,0.17721518987341772,0.2777777777777778
11,Overall Customer Service,76,68,8,12,1308,0.8947368421052632,0.85,0.15,0.10526315789473684
12,Cloud Connectivity,44,35,9,27,1325,0.7954545454545454,0.5645161290322581,0.43548387096774194,0.20454545454545456
13,Paper Jam,31,21,10,7,1358,0.6774193548387096,0.75,0.25,0.3225806451612903
14,Color Print Quality,46,25,21,11,1339,0.5434782608695652,0.6944444444444444,0.3055555555555556,0.45652173913043476
15,Monochrome Print Quality,32,18,14,20,1344,0.5625,0.47368421052631576,0.5263157894736842,0.4375
16,Build Quality,78,52,26,52,1266,0.6666666666666666,0.5,0.5,0.3333333333333333
17,Print Speed,49,24,25,11,1336,0.4897959183673469,0.6857142857142857,0.3142857142857143,0.5102040816326531
18,CD/DVD Printing,8,2,6,3,1385,0.25,0.4,0.6,0.75
19,Initialization Speed,70,48,22,11,1315,0.6857142857142857,0.8135593220338984,0.1864406779661017,0.3142857142857143
20,Driver Performance,46,38,8,3,1347,0.8260869565217391,0.926829268292683,0.07317073170731707,0.17391304347826086
21,Overall,1878,1418,460,354,27084,0.7550585729499467,0.8002257336343115,0.19977426636568849,0.24494142705005326
