,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Data Transfer/Transmission/Wireless Range-SA/Positive,1,0,1,0,1517,NA,NA,NA,NA
1,Data Transfer/Transmission/Wireless Range-SA/Negative,2,0,2,0,1516,NA,NA,NA,NA
2,Data Transfer/Transmission/Wireless Range-SA/Neutral,1,0,1,0,1517,NA,NA,NA,NA
3,Data Transfer/Transmission/Cloud Connectivity-SA/Positive,15,2,13,2,1501,0.13333333333333333,0.5,0.5,0.8666666666666667
4,Data Transfer/Transmission/Cloud Connectivity-SA/Negative,12,3,9,0,1506,0.25,1.0,0.0,0.75
5,Data Transfer/Transmission/Cloud Connectivity-SA/Neutral,12,7,5,3,1503,0.5833333333333334,0.7,0.3,0.4166666666666667
6,Data Transfer/Transmission/Wireless Connectivity-SA/Positive,45,10,35,3,1470,0.2222222222222222,0.7692307692307693,0.23076923076923078,0.7777777777777778
7,Data Transfer/Transmission/Wireless Connectivity-SA/Negative,94,54,40,53,1371,0.574468085106383,0.5046728971962616,0.4953271028037383,0.425531914893617
8,Data Transfer/Transmission/Wireless Connectivity-SA/Neutral,100,30,70,19,1399,0.3,0.6122448979591837,0.3877551020408163,0.7
9,Data Transfer/Transmission/Wireless Setup-SA/Positive,60,36,24,6,1452,0.6,0.8571428571428571,0.14285714285714285,0.4
10,Data Transfer/Transmission/Wireless Setup-SA/Negative,27,9,18,16,1475,0.3333333333333333,0.36,0.64,0.6666666666666666
11,Data Transfer/Transmission/Wireless Setup-SA/Neutral,100,22,78,11,1407,0.22,0.6666666666666666,0.3333333333333333,0.78
12,Data Transfer/Transmission/Data Transfer Error-SA/Positive,0,0,0,0,1518,NA,NA,NA,NA
13,Data Transfer/Transmission/Data Transfer Error-SA/Negative,19,4,15,21,1478,0.21052631578947367,0.16,0.84,0.7894736842105263
14,Data Transfer/Transmission/Data Transfer Error-SA/Neutral,1,0,1,0,1517,NA,NA,NA,NA
15,Body/Design/Ergonomics -SA/Positive,4,0,4,0,1514,NA,NA,NA,NA
16,Body/Design/Ergonomics -SA/Negative,5,0,5,3,1510,0.0,0.0,1.0,1.0
17,Body/Design/Ergonomics -SA/Neutral,3,0,3,0,1515,NA,NA,NA,NA
18,Overall,501,177,324,137,26686,0.3532934131736527,0.5636942675159236,0.43630573248407645,0.6467065868263473
