,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Data Transfer/Transmission/Wireless Range-SA/Positive,1,0,1,0,1517,NA,NA,NA,NA
1,Data Transfer/Transmission/Wireless Range-SA/Negative,2,0,2,0,1516,NA,NA,NA,NA
2,Data Transfer/Transmission/Wireless Range-SA/Neutral,1,0,1,0,1517,NA,NA,NA,NA
3,Data Transfer/Transmission/Cloud Connectivity-SA/Positive,15,0,15,0,1503,NA,NA,NA,NA
4,Data Transfer/Transmission/Cloud Connectivity-SA/Negative,12,0,12,0,1506,NA,NA,NA,NA
5,Data Transfer/Transmission/Cloud Connectivity-SA/Neutral,12,7,5,22,1484,0.5833333333333334,0.2413793103448276,0.7586206896551724,0.4166666666666667
6,Data Transfer/Transmission/Wireless Connectivity-SA/Positive,45,0,45,0,1473,NA,NA,NA,NA
7,Data Transfer/Transmission/Wireless Connectivity-SA/Negative,94,34,60,35,1389,0.3617021276595745,0.4927536231884058,0.5072463768115942,0.6382978723404256
8,Data Transfer/Transmission/Wireless Connectivity-SA/Neutral,100,55,45,91,1327,0.55,0.3767123287671233,0.6232876712328768,0.45
9,Data Transfer/Transmission/Wireless Setup-SA/Positive,60,33,27,4,1454,0.55,0.8918918918918919,0.10810810810810811,0.45
10,Data Transfer/Transmission/Wireless Setup-SA/Negative,27,1,26,18,1473,0.037037037037037035,0.05263157894736842,0.9473684210526315,0.9629629629629629
11,Data Transfer/Transmission/Wireless Setup-SA/Neutral,100,41,59,31,1387,0.41,0.5694444444444444,0.4305555555555556,0.59
12,Data Transfer/Transmission/Data Transfer Error-SA/Positive,0,0,0,0,1518,NA,NA,NA,NA
13,Data Transfer/Transmission/Data Transfer Error-SA/Negative,19,1,18,4,1495,0.05263157894736842,0.2,0.8,0.9473684210526315
14,Data Transfer/Transmission/Data Transfer Error-SA/Neutral,1,0,1,0,1517,NA,NA,NA,NA
15,Body/Design/Ergonomics -SA/Positive,4,0,4,0,1514,NA,NA,NA,NA
16,Body/Design/Ergonomics -SA/Negative,5,1,4,14,1499,0.2,0.06666666666666667,0.9333333333333333,0.8
17,Body/Design/Ergonomics -SA/Neutral,3,0,3,0,1515,NA,NA,NA,NA
18,Overall,501,173,328,219,26604,0.34530938123752497,0.4413265306122449,0.5586734693877551,0.654690618762475
