,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Data Transfer/Transmission/Wireless Range-SA,4,0,4,1,1513,0.0,0.0,1.0,1.0
1,Data Transfer/Transmission/Cloud Connectivity-SA,39,22,17,3,1476,0.5641025641025641,0.88,0.12,0.4358974358974359
2,Data Transfer/Transmission/Wireless Connectivity-SA,235,175,60,39,1244,0.7446808510638298,0.8177570093457944,0.1822429906542056,0.2553191489361702
3,Data Transfer/Transmission/Wireless Setup-SA,186,143,43,18,1314,0.7688172043010753,0.8881987577639752,0.11180124223602485,0.23118279569892472
4,Data Transfer/Transmission/Data Transfer Error-SA,20,6,14,21,1477,0.3,0.2222222222222222,0.7777777777777778,0.7
5,Body/Design/Ergonomics -SA,12,2,10,4,1502,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.8333333333333334
6,Body/Design/I/O Port(s)-SA,1,0,1,0,1517,NA,NA,NA,NA
7,Body/Design/Size-SA,52,31,21,14,1452,0.5961538461538461,0.6888888888888889,0.3111111111111111,0.40384615384615385
8,Body/Design/Weight-SA,9,3,6,2,1507,0.3333333333333333,0.6,0.4,0.6666666666666666
9,Body/Design/Controls/Buttons-SA,6,0,6,2,1510,0.0,0.0,1.0,1.0
10,Body/Design/Power On/Off-SA,8,1,7,3,1507,0.125,0.25,0.75,0.875
11,Body/Design/Initialization Speed-SA,72,40,32,14,1432,0.5555555555555556,0.7407407407407407,0.25925925925925924,0.4444444444444444
12,Body/Design/Build Quality-SA,67,24,43,14,1437,0.3582089552238806,0.631578947368421,0.3684210526315789,0.6417910447761194
13,Body/Design/Audible Noise-SA,103,59,44,8,1407,0.5728155339805825,0.8805970149253731,0.11940298507462686,0.42718446601941745
14,Body/Design/Indicator Light-SA,6,3,3,0,1512,0.5,1.0,0.0,0.5
15,Body/Design/Unit Locks Up-SA,4,0,4,4,1510,0.0,0.0,1.0,1.0
16,OS Compatibility/Android Compatibility-SA,5,1,4,2,1511,0.2,0.3333333333333333,0.6666666666666666,0.8
17,OS Compatibility/iOS Compatibility-SA,28,21,7,6,1484,0.75,0.7777777777777778,0.2222222222222222,0.25
18,OS Compatibility/Mac Compatibility-SA,65,54,11,15,1438,0.8307692307692308,0.782608695652174,0.21739130434782608,0.16923076923076924
19,OS Compatibility/Windows Compatibility-SA,125,113,12,5,1388,0.904,0.9576271186440678,0.0423728813559322,0.096
20,OS Compatibility/Other OS Compatibility-SA,6,1,5,1,1511,0.16666666666666666,0.5,0.5,0.8333333333333334
21,OS Compatibility/Windows Mobile Compatibility-SA,0,0,0,0,1518,NA,NA,NA,NA
22,OS Compatibility/Non-Specific O.S. Compatibility-SA,3,0,3,0,1515,NA,NA,NA,NA
23,Print Quality/Color Print Quality-SA,56,32,24,16,1446,0.5714285714285714,0.6666666666666666,0.3333333333333333,0.42857142857142855
24,Print Quality/Overall Print Quality-SA,93,41,52,14,1411,0.44086021505376344,0.7454545454545455,0.2545454545454545,0.5591397849462365
25,Print Quality/Monochrome Print Quality-SA,25,12,13,20,1473,0.48,0.375,0.625,0.52
26,Print Quality/Print Speed-SA,56,39,17,23,1439,0.6964285714285714,0.6290322580645161,0.3709677419354839,0.30357142857142855
27,Print Quality/Borders/Margins-SA,4,0,4,0,1514,NA,NA,NA,NA
