,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,217,8,99,1072,0.9644444444444444,0.6867088607594937,0.31329113924050633,0.035555555555555556
1,Wireless Connectivity,241,189,52,55,1100,0.7842323651452282,0.7745901639344263,0.22540983606557377,0.2157676348547718
2,Windows Compatibility,132,118,14,5,1259,0.8939393939393939,0.959349593495935,0.04065040650406504,0.10606060606060606
3,Selling Price,84,71,13,35,1277,0.8452380952380952,0.6698113207547169,0.330188679245283,0.15476190476190477
4,Paper Feed,81,54,27,15,1300,0.6666666666666666,0.782608695652174,0.21739130434782608,0.3333333333333333
5,Overall Print Quality,121,87,34,52,1223,0.71900826446281,0.6258992805755396,0.37410071942446044,0.2809917355371901
6,Non-specific/Unknown,109,95,14,8,1279,0.8715596330275229,0.9223300970873787,0.07766990291262135,0.12844036697247707
7,iOS Compatibility,105,89,16,8,1283,0.8476190476190476,0.9175257731958762,0.08247422680412371,0.1523809523809524
8,Ink Consumption,123,102,21,19,1254,0.8292682926829268,0.8429752066115702,0.15702479338842976,0.17073170731707318
9,Competitor Product Comparison,87,75,12,5,1304,0.8620689655172413,0.9375,0.0625,0.13793103448275862
10,Audible Noise,90,61,29,6,1300,0.6777777777777778,0.9104477611940298,0.08955223880597014,0.32222222222222224
11,Overall Customer Service,76,60,16,9,1311,0.7894736842105263,0.8695652173913043,0.13043478260869565,0.21052631578947367
12,Cloud Connectivity,44,22,22,4,1348,0.5,0.8461538461538461,0.15384615384615385,0.5
13,Paper Jam,31,18,13,3,1362,0.5806451612903226,0.8571428571428571,0.14285714285714285,0.41935483870967744
14,Color Print Quality,46,25,21,23,1327,0.5434782608695652,0.5208333333333334,0.4791666666666667,0.45652173913043476
15,Monochrome Print Quality,32,16,16,9,1355,0.5,0.64,0.36,0.5
16,Build Quality,78,41,37,24,1294,0.5256410256410257,0.6307692307692307,0.36923076923076925,0.47435897435897434
17,Print Speed,49,27,22,23,1324,0.5510204081632653,0.54,0.46,0.4489795918367347
18,CD/DVD Printing,8,1,7,4,1384,0.125,0.2,0.8,0.875
19,Initialization Speed,70,31,39,10,1316,0.44285714285714284,0.7560975609756098,0.24390243902439024,0.5571428571428572
20,Driver Performance,46,35,11,20,1330,0.7608695652173914,0.6363636363636364,0.36363636363636365,0.2391304347826087
21,Overall,1878,1434,444,436,27002,0.7635782747603834,0.7668449197860963,0.23315508021390374,0.2364217252396166
