,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Data Transfer/Transmission/Wireless Range-SA,4,0,4,1,1513,0.0,0.0,1.0,1.0
1,Data Transfer/Transmission/Cloud Connectivity-SA,39,30,9,14,1465,0.7692307692307693,0.6818181818181818,0.3181818181818182,0.23076923076923078
2,Data Transfer/Transmission/Wireless Connectivity-SA,235,188,47,43,1240,0.8,0.8138528138528138,0.18614718614718614,0.2
3,Data Transfer/Transmission/Wireless Setup-SA,186,150,36,31,1301,0.8064516129032258,0.8287292817679558,0.1712707182320442,0.1935483870967742
4,Data Transfer/Transmission/Data Transfer Error-SA,20,4,16,33,1465,0.2,0.10810810810810811,0.8918918918918919,0.8
5,Body/Design/Ergonomics -SA,12,2,10,7,1499,0.16666666666666666,0.2222222222222222,0.7777777777777778,0.8333333333333334
6,Body/Design/I/O Port(s)-SA,1,0,1,0,1517,NA,NA,NA,NA
7,Body/Design/Size-SA,52,31,21,19,1447,0.5961538461538461,0.62,0.38,0.40384615384615385
8,Body/Design/Weight-SA,9,3,6,3,1506,0.3333333333333333,0.5,0.5,0.6666666666666666
9,Body/Design/Controls/Buttons-SA,6,0,6,5,1507,0.0,0.0,1.0,1.0
10,Body/Design/Power On/Off-SA,8,1,7,4,1506,0.125,0.2,0.8,0.875
11,Body/Design/Initialization Speed-SA,72,51,21,32,1414,0.7083333333333334,0.6144578313253012,0.3855421686746988,0.2916666666666667
12,Body/Design/Build Quality-SA,67,23,44,10,1441,0.34328358208955223,0.696969696969697,0.30303030303030304,0.6567164179104478
13,Body/Design/Audible Noise-SA,103,80,23,27,1388,0.7766990291262136,0.7476635514018691,0.2523364485981308,0.22330097087378642
14,Body/Design/Indicator Light-SA,6,3,3,1,1511,0.5,0.75,0.25,0.5
15,Body/Design/Unit Locks Up-SA,4,0,4,7,1507,0.0,0.0,1.0,1.0
16,OS Compatibility/Android Compatibility-SA,5,1,4,0,1513,0.2,1.0,0.0,0.8
17,OS Compatibility/iOS Compatibility-SA,28,23,5,2,1488,0.8214285714285714,0.92,0.08,0.17857142857142858
18,OS Compatibility/Mac Compatibility-SA,65,54,11,4,1449,0.8307692307692308,0.9310344827586207,0.06896551724137931,0.16923076923076924
19,OS Compatibility/Windows Compatibility-SA,125,116,9,13,1380,0.928,0.8992248062015504,0.10077519379844961,0.072
20,OS Compatibility/Other OS Compatibility-SA,6,0,6,1,1511,0.0,0.0,1.0,1.0
21,OS Compatibility/Windows Mobile Compatibility-SA,0,0,0,0,1518,NA,NA,NA,NA
22,OS Compatibility/Non-Specific O.S. Compatibility-SA,3,0,3,0,1515,NA,NA,NA,NA
23,Print Quality/Color Print Quality-SA,56,18,38,9,1453,0.32142857142857145,0.6666666666666666,0.3333333333333333,0.6785714285714286
24,Print Quality/Overall Print Quality-SA,93,53,40,48,1377,0.5698924731182796,0.5247524752475248,0.4752475247524752,0.43010752688172044
25,Print Quality/Monochrome Print Quality-SA,25,9,16,6,1487,0.36,0.6,0.4,0.64
26,Print Quality/Print Speed-SA,56,37,19,24,1438,0.6607142857142857,0.6065573770491803,0.39344262295081966,0.3392857142857143
27,Print Quality/Borders/Margins-SA,4,0,4,0,1514,NA,NA,NA,NA
28,Print Quality/Duplex Printing-SA,19,9,10,1,1498,0.47368421052631576,0.9,0.1,0.5263157894736842
29,Print Quality/Print Banding-SA,1,0,1,0,1517,NA,NA,NA,NA
30,Print Quality/Print Permanence-SA,0,0,0,0,1518,NA,NA,NA,NA
31,Error Messages/Busy Message-SA,1,1,0,0,1517,1.0,1.0,0.0,0.0
32,Error Messages/Error 1007-SA,3,0,3,0,1515,NA,NA,NA,NA
33,Error Messages/Error 1008-SA,3,0,3,0,1515,NA,NA,NA,NA
34,Error Messages/Error 1403-SA,1,0,1,0,1517,NA,NA,NA,NA
