,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Data Transfer/Transmission/Wireless Range-SA,4,0,4,0,1514,NA,NA,NA,NA
1,Data Transfer/Transmission/Cloud Connectivity-SA,39,24,15,9,1470,0.6153846153846154,0.7272727272727273,0.2727272727272727,0.38461538461538464
2,Data Transfer/Transmission/Wireless Connectivity-SA,235,170,65,36,1247,0.723404255319149,0.8252427184466019,0.17475728155339806,0.2765957446808511
3,Data Transfer/Transmission/Wireless Setup-SA,186,151,35,32,1300,0.8118279569892473,0.825136612021858,0.17486338797814208,0.1881720430107527
4,Data Transfer/Transmission/Data Transfer Error-SA,20,4,16,14,1484,0.2,0.2222222222222222,0.7777777777777778,0.8
5,Body/Design/Ergonomics -SA,12,0,12,0,1506,NA,NA,NA,NA
6,Body/Design/I/O Port(s)-SA,1,0,1,0,1517,NA,NA,NA,NA
7,Body/Design/Size-SA,52,32,20,16,1450,0.6153846153846154,0.6666666666666666,0.3333333333333333,0.38461538461538464
8,Body/Design/Weight-SA,9,2,7,0,1509,0.2222222222222222,1.0,0.0,0.7777777777777778
9,Body/Design/Controls/Buttons-SA,6,0,6,0,1512,NA,NA,NA,NA
10,Body/Design/Power On/Off-SA,8,1,7,2,1508,0.125,0.3333333333333333,0.6666666666666666,0.875
11,Body/Design/Initialization Speed-SA,72,44,28,23,1423,0.6111111111111112,0.6567164179104478,0.34328358208955223,0.3888888888888889
12,Body/Design/Build Quality-SA,67,24,43,21,1430,0.3582089552238806,0.5333333333333333,0.4666666666666667,0.6417910447761194
13,Body/Design/Audible Noise-SA,103,57,46,2,1413,0.5533980582524272,0.9661016949152542,0.03389830508474576,0.44660194174757284
14,Body/Design/Indicator Light-SA,6,2,4,0,1512,0.3333333333333333,1.0,0.0,0.6666666666666666
15,Body/Design/Unit Locks Up-SA,4,0,4,0,1514,NA,NA,NA,NA
16,OS Compatibility/Android Compatibility-SA,5,0,5,0,1513,NA,NA,NA,NA
17,OS Compatibility/iOS Compatibility-SA,28,17,11,2,1488,0.6071428571428571,0.8947368421052632,0.10526315789473684,0.39285714285714285
18,OS Compatibility/Mac Compatibility-SA,65,47,18,4,1449,0.7230769230769231,0.9215686274509803,0.0784313725490196,0.27692307692307694
19,OS Compatibility/Windows Compatibility-SA,125,112,13,7,1386,0.896,0.9411764705882353,0.058823529411764705,0.104
20,OS Compatibility/Other OS Compatibility-SA,6,0,6,0,1512,NA,NA,NA,NA
21,OS Compatibility/Windows Mobile Compatibility-SA,0,0,0,0,1518,NA,NA,NA,NA
22,OS Compatibility/Non-Specific O.S. Compatibility-SA,3,0,3,0,1515,NA,NA,NA,NA
23,Print Quality/Color Print Quality-SA,56,31,25,25,1437,0.5535714285714286,0.5535714285714286,0.44642857142857145,0.44642857142857145
24,Print Quality/Overall Print Quality-SA,93,45,48,28,1397,0.4838709677419355,0.6164383561643836,0.3835616438356164,0.5161290322580645
25,Print Quality/Monochrome Print Quality-SA,25,12,13,6,1487,0.48,0.6666666666666666,0.3333333333333333,0.52
26,Print Quality/Print Speed-SA,56,41,15,39,1423,0.7321428571428571,0.5125,0.4875,0.26785714285714285
27,Print Quality/Borders/Margins-SA,4,0,4,0,1514,NA,NA,NA,NA
28,Print Quality/Duplex Printing-SA,19,5,14,6,1493,0.2631578947368421,0.45454545454545453,0.5454545454545454,0.7368421052631579
29,Print Quality/Print Banding-SA,1,0,1,0,1517,NA,NA,NA,NA
30,Print Quality/Print Permanence-SA,0,0,0,0,1518,NA,NA,NA,NA
31,Error Messages/Busy Message-SA,1,1,0,0,1517,1.0,1.0,0.0,0.0
32,Error Messages/Error 1007-SA,3,0,3,0,1515,NA,NA,NA,NA
33,Error Messages/Error 1008-SA,3,0,3,0,1515,NA,NA,NA,NA
