,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Data Transfer/Transmission/Wireless Range-SA,4,0,4,0,1514,NA,NA,NA,NA
1,Data Transfer/Transmission/Cloud Connectivity-SA,39,26,13,3,1476,0.6666666666666666,0.896551724137931,0.10344827586206896,0.3333333333333333
2,Data Transfer/Transmission/Wireless Connectivity-SA,235,196,39,65,1218,0.8340425531914893,0.7509578544061303,0.24904214559386972,0.16595744680851063
3,Data Transfer/Transmission/Wireless Setup-SA,186,131,55,18,1314,0.7043010752688172,0.8791946308724832,0.12080536912751678,0.2956989247311828
4,Data Transfer/Transmission/Data Transfer Error-SA,20,2,18,8,1490,0.1,0.2,0.8,0.9
5,Body/Design/Ergonomics -SA,12,2,10,3,1503,0.16666666666666666,0.4,0.6,0.8333333333333334
6,Body/Design/I/O Port(s)-SA,1,0,1,0,1517,NA,NA,NA,NA
7,Body/Design/Size-SA,52,28,24,11,1455,0.5384615384615384,0.717948717948718,0.28205128205128205,0.46153846153846156
8,Body/Design/Weight-SA,9,1,8,0,1509,0.1111111111111111,1.0,0.0,0.8888888888888888
9,Body/Design/Controls/Buttons-SA,6,0,6,2,1510,0.0,0.0,1.0,1.0
10,Body/Design/Power On/Off-SA,8,1,7,0,1510,0.125,1.0,0.0,0.875
11,Body/Design/Initialization Speed-SA,72,42,30,15,1431,0.5833333333333334,0.7368421052631579,0.2631578947368421,0.4166666666666667
12,Body/Design/Build Quality-SA,67,30,37,22,1429,0.44776119402985076,0.5769230769230769,0.4230769230769231,0.5522388059701493
13,Body/Design/Audible Noise-SA,103,78,25,6,1409,0.7572815533980582,0.9285714285714286,0.07142857142857142,0.24271844660194175
14,Body/Design/Indicator Light-SA,6,2,4,0,1512,0.3333333333333333,1.0,0.0,0.6666666666666666
15,Body/Design/Unit Locks Up-SA,4,0,4,0,1514,NA,NA,NA,NA
16,OS Compatibility/Android Compatibility-SA,5,0,5,0,1513,NA,NA,NA,NA
17,OS Compatibility/iOS Compatibility-SA,28,19,9,5,1485,0.6785714285714286,0.7916666666666666,0.20833333333333334,0.32142857142857145
18,OS Compatibility/Mac Compatibility-SA,65,48,17,5,1448,0.7384615384615385,0.9056603773584906,0.09433962264150944,0.26153846153846155
19,OS Compatibility/Windows Compatibility-SA,125,116,9,27,1366,0.928,0.8111888111888111,0.1888111888111888,0.072
20,OS Compatibility/Other OS Compatibility-SA,6,0,6,0,1512,NA,NA,NA,NA
21,OS Compatibility/Windows Mobile Compatibility-SA,0,0,0,0,1518,NA,NA,NA,NA
22,OS Compatibility/Non-Specific O.S. Compatibility-SA,3,0,3,0,1515,NA,NA,NA,NA
23,Print Quality/Color Print Quality-SA,56,34,22,25,1437,0.6071428571428571,0.576271186440678,0.423728813559322,0.39285714285714285
24,Print Quality/Overall Print Quality-SA,93,40,53,22,1403,0.43010752688172044,0.6451612903225806,0.3548387096774194,0.5698924731182796
25,Print Quality/Monochrome Print Quality-SA,25,17,8,38,1455,0.68,0.3090909090909091,0.6909090909090909,0.32
26,Print Quality/Print Speed-SA,56,41,15,28,1434,0.7321428571428571,0.5942028985507246,0.4057971014492754,0.26785714285714285
27,Print Quality/Borders/Margins-SA,4,0,4,0,1514,NA,NA,NA,NA
28,Print Quality/Duplex Printing-SA,19,3,16,1,1498,0.15789473684210525,0.75,0.25,0.8421052631578947
29,Print Quality/Print Banding-SA,1,0,1,1,1516,0.0,0.0,1.0,1.0
30,Print Quality/Print Permanence-SA,0,0,0,0,1518,NA,NA,NA,NA
31,Error Messages/Busy Message-SA,1,1,0,1,1516,1.0,0.5,0.5,0.0
32,Error Messages/Error 1007-SA,3,0,3,0,1515,NA,NA,NA,NA
33,Error Messages/Error 1008-SA,3,0,3,0,1515,NA,NA,NA,NA
34,Error Messages/Error 1403-SA,1,0,1,0,1517,NA,NA,NA,NA
35,Error Messages/Error 2500-SA,2,0,2,0,1516,NA,NA,NA,NA
36,Error Messages/Error 5011-SA,2,0,2,0,1516,NA,NA,NA,NA
