,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,198,27,17,1154,0.88,0.9209302325581395,0.07906976744186046,0.12
1,Wireless Connectivity,241,186,55,53,1102,0.7717842323651453,0.7782426778242678,0.2217573221757322,0.22821576763485477
2,Windows Compatibility,132,115,17,5,1259,0.8712121212121212,0.9583333333333334,0.041666666666666664,0.12878787878787878
3,Selling Price,84,64,20,11,1301,0.7619047619047619,0.8533333333333334,0.14666666666666667,0.23809523809523808
4,Paper Feed,81,58,23,18,1297,0.7160493827160493,0.7631578947368421,0.23684210526315788,0.2839506172839506
5,Overall Print Quality,121,87,34,42,1233,0.71900826446281,0.6744186046511628,0.32558139534883723,0.2809917355371901
6,Non-specific/Unknown,109,96,13,11,1276,0.8807339449541285,0.897196261682243,0.102803738317757,0.11926605504587157
7,iOS Compatibility,105,85,20,19,1272,0.8095238095238095,0.8173076923076923,0.18269230769230768,0.19047619047619047
8,Ink Consumption,123,100,23,30,1243,0.8130081300813008,0.7692307692307693,0.23076923076923078,0.18699186991869918
9,Competitor Product Comparison,87,73,14,12,1297,0.8390804597701149,0.8588235294117647,0.1411764705882353,0.16091954022988506
10,Audible Noise,90,67,23,10,1296,0.7444444444444445,0.8701298701298701,0.12987012987012986,0.25555555555555554
11,Overall Customer Service,76,64,12,11,1309,0.8421052631578947,0.8533333333333334,0.14666666666666667,0.15789473684210525
12,Cloud Connectivity,44,26,18,6,1346,0.5909090909090909,0.8125,0.1875,0.4090909090909091
13,Paper Jam,31,15,16,4,1361,0.4838709677419355,0.7894736842105263,0.21052631578947367,0.5161290322580645
14,Color Print Quality,46,27,19,21,1329,0.5869565217391305,0.5625,0.4375,0.41304347826086957
15,Monochrome Print Quality,32,20,12,16,1348,0.625,0.5555555555555556,0.4444444444444444,0.375
16,Build Quality,78,47,31,15,1303,0.6025641025641025,0.7580645161290323,0.24193548387096775,0.3974358974358974
17,Print Speed,49,27,22,14,1333,0.5510204081632653,0.6585365853658537,0.34146341463414637,0.4489795918367347
18,CD/DVD Printing,8,2,6,4,1384,0.25,0.3333333333333333,0.6666666666666666,0.75
19,Initialization Speed,70,34,36,4,1322,0.4857142857142857,0.8947368421052632,0.10526315789473684,0.5142857142857142
20,Driver Performance,46,36,10,14,1336,0.782608695652174,0.72,0.28,0.21739130434782608
21,Overall,1878,1427,451,337,27101,0.7598509052183173,0.8089569160997733,0.19104308390022676,0.24014909478168264
