,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Data Transfer/Transmission/Wireless Range-SA,4,0,4,0,1514,NA,NA,NA,NA
1,Data Transfer/Transmission/Cloud Connectivity-SA,39,0,39,0,1479,NA,NA,NA,NA
2,Data Transfer/Transmission/Wireless Connectivity-SA,235,112,123,71,1212,0.4765957446808511,0.6120218579234973,0.3879781420765027,0.5234042553191489
3,Data Transfer/Transmission/Wireless Setup-SA,186,5,181,4,1328,0.026881720430107527,0.5555555555555556,0.4444444444444444,0.9731182795698925
4,Data Transfer/Transmission/Data Transfer Error-SA,20,0,20,0,1498,NA,NA,NA,NA
5,Body/Design/Ergonomics -SA,12,0,12,0,1506,NA,NA,NA,NA
6,Body/Design/I/O Port(s)-SA,1,0,1,0,1517,NA,NA,NA,NA
7,Body/Design/Size-SA,52,0,52,0,1466,NA,NA,NA,NA
8,Body/Design/Weight-SA,9,0,9,0,1509,NA,NA,NA,NA
9,Body/Design/Controls/Buttons-SA,6,0,6,0,1512,NA,NA,NA,NA
10,Body/Design/Power On/Off-SA,8,0,8,0,1510,NA,NA,NA,NA
11,Body/Design/Initialization Speed-SA,72,0,72,0,1446,NA,NA,NA,NA
12,Body/Design/Build Quality-SA,67,0,67,0,1451,NA,NA,NA,NA
13,Body/Design/Audible Noise-SA,103,0,103,0,1415,NA,NA,NA,NA
14,Body/Design/Indicator Light-SA,6,0,6,0,1512,NA,NA,NA,NA
15,Body/Design/Unit Locks Up-SA,4,0,4,0,1514,NA,NA,NA,NA
16,OS Compatibility/Android Compatibility-SA,5,0,5,0,1513,NA,NA,NA,NA
17,OS Compatibility/iOS Compatibility-SA,28,0,28,0,1490,NA,NA,NA,NA
18,OS Compatibility/Mac Compatibility-SA,65,0,65,0,1453,NA,NA,NA,NA
19,OS Compatibility/Windows Compatibility-SA,125,14,111,0,1393,0.112,1.0,0.0,0.888
20,OS Compatibility/Other OS Compatibility-SA,6,0,6,0,1512,NA,NA,NA,NA
21,OS Compatibility/Windows Mobile Compatibility-SA,0,0,0,0,1518,NA,NA,NA,NA
22,OS Compatibility/Non-Specific O.S. Compatibility-SA,3,0,3,0,1515,NA,NA,NA,NA
23,Print Quality/Color Print Quality-SA,56,0,56,0,1462,NA,NA,NA,NA
24,Print Quality/Overall Print Quality-SA,93,3,90,3,1422,0.03225806451612903,0.5,0.5,0.967741935483871
25,Print Quality/Monochrome Print Quality-SA,25,1,24,1,1492,0.04,0.5,0.5,0.96
26,Print Quality/Print Speed-SA,56,0,56,0,1462,NA,NA,NA,NA
27,Print Quality/Borders/Margins-SA,4,0,4,0,1514,NA,NA,NA,NA
28,Print Quality/Duplex Printing-SA,19,0,19,0,1499,NA,NA,NA,NA
29,Print Quality/Print Banding-SA,1,0,1,0,1517,NA,NA,NA,NA
30,Print Quality/Print Permanence-SA,0,0,0,0,1518,NA,NA,NA,NA
31,Error Messages/Busy Message-SA,1,0,1,0,1517,NA,NA,NA,NA
32,Error Messages/Error 1007-SA,3,0,3,0,1515,NA,NA,NA,NA
33,Error Messages/Error 1008-SA,3,0,3,0,1515,NA,NA,NA,NA
34,Error Messages/Error 1403-SA,1,0,1,0,1517,NA,NA,NA,NA
35,Error Messages/Error 2500-SA,2,0,2,0,1516,NA,NA,NA,NA
36,Error Messages/Error 5011-SA,2,0,2,0,1516,NA,NA,NA,NA
37,Error Messages/Error 5100-SA,0,0,0,0,1518,NA,NA,NA,NA
38,Error Messages/Error 6000-SA,4,0,4,0,1514,NA,NA,NA,NA
39,Error Messages/Error 6001-SA,2,0,2,0,1516,NA,NA,NA,NA
40,Error Messages/Error B200-SA,15,0,15,0,1503,NA,NA,NA,NA
41,Error Messages/Error U052-SA,0,0,0,0,1518,NA,NA,NA,NA
42,Error Messages/Memory Card Error-SA,0,0,0,0,1518,NA,NA,NA,NA
43,Error Messages/Non-specific/Unknown-SA,64,0,64,0,1454,NA,NA,NA,NA
44,Error Messages/Scanner Error-SA,6,0,6,0,1512,NA,NA,NA,NA
45,Error Messages/Unrecognized Ink Tank-SA,1,0,1,0,1517,NA,NA,NA,NA
46,Error Messages/Paper Jam-SA,38,0,38,0,1480,NA,NA,NA,NA
47,Ink/Ink Consumption-SA,85,0,85,0,1433,NA,NA,NA,NA
48,Ink/Clogged Nozzles-SA,5,0,5,0,1513,NA,NA,NA,NA
49,Ink/Bad Chip-SA,2,0,2,0,1516,NA,NA,NA,NA
50,Ink/Ink Tank Capacity-SA,12,0,12,0,1506,NA,NA,NA,NA
51,Ink/Ink Level Warning-SA,9,0,9,0,1509,NA,NA,NA,NA
52,Printing Media/Paper Feed-SA,89,2,87,0,1429,0.02247191011235955,1.0,0.0,0.9775280898876404
53,Printing Media/CD/DVD Printing-SA,20,0,20,0,1498,NA,NA,NA,NA
54,Printing Media/Media Size-SA,4,0,4,0,1514,NA,NA,NA,NA
55,Retail Experience/Selling Price-SA,109,0,109,0,1409,NA,NA,NA,NA
56,Customer Care/Agent Follow Up-SA,2,0,2,0,1516,NA,NA,NA,NA
