,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Data Transfer/Transmission/Wireless Range-SA/Positive,1,0,1,0,1517,NA,NA,NA,NA
1,Data Transfer/Transmission/Wireless Range-SA/Negative,2,0,2,0,1516,NA,NA,NA,NA
2,Data Transfer/Transmission/Wireless Range-SA/Neutral,1,0,1,0,1517,NA,NA,NA,NA
3,Data Transfer/Transmission/Cloud Connectivity-SA/Positive,15,0,15,0,1503,NA,NA,NA,NA
4,Data Transfer/Transmission/Cloud Connectivity-SA/Negative,12,0,12,0,1506,NA,NA,NA,NA
5,Data Transfer/Transmission/Cloud Connectivity-SA/Neutral,12,0,12,0,1506,NA,NA,NA,NA
6,Data Transfer/Transmission/Wireless Connectivity-SA/Positive,45,0,45,0,1473,NA,NA,NA,NA
7,Data Transfer/Transmission/Wireless Connectivity-SA/Negative,94,0,94,0,1424,NA,NA,NA,NA
8,Data Transfer/Transmission/Wireless Connectivity-SA/Neutral,100,8,92,1,1417,0.08,0.8888888888888888,0.1111111111111111,0.92
9,Data Transfer/Transmission/Wireless Setup-SA/Positive,60,16,44,4,1454,0.26666666666666666,0.8,0.2,0.7333333333333333
10,Data Transfer/Transmission/Wireless Setup-SA/Negative,27,0,27,0,1491,NA,NA,NA,NA
11,Data Transfer/Transmission/Wireless Setup-SA/Neutral,100,0,100,0,1418,NA,NA,NA,NA
12,Data Transfer/Transmission/Data Transfer Error-SA/Positive,0,0,0,0,1518,NA,NA,NA,NA
13,Data Transfer/Transmission/Data Transfer Error-SA/Negative,19,0,19,0,1499,NA,NA,NA,NA
14,Data Transfer/Transmission/Data Transfer Error-SA/Neutral,1,0,1,0,1517,NA,NA,NA,NA
15,Body/Design/Ergonomics -SA/Positive,4,0,4,0,1514,NA,NA,NA,NA
16,Body/Design/Ergonomics -SA/Negative,5,0,5,0,1513,NA,NA,NA,NA
17,Body/Design/Ergonomics -SA/Neutral,3,0,3,0,1515,NA,NA,NA,NA
18,Overall,501,24,477,5,26818,0.04790419161676647,0.8275862068965517,0.1724137931034483,0.9520958083832335
