,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Data Transfer/Transmission/Wireless Range-SA,4,0,4,3,1511,0.0,0.0,1.0,1.0
1,Data Transfer/Transmission/Cloud Connectivity-SA,39,27,12,8,1471,0.6923076923076923,0.7714285714285715,0.22857142857142856,0.3076923076923077
2,Data Transfer/Transmission/Wireless Connectivity-SA,235,183,52,40,1243,0.7787234042553192,0.820627802690583,0.17937219730941703,0.22127659574468084
3,Data Transfer/Transmission/Wireless Setup-SA,186,148,38,26,1306,0.7956989247311828,0.8505747126436781,0.14942528735632185,0.20430107526881722
4,Data Transfer/Transmission/Data Transfer Error-SA,20,5,15,18,1480,0.25,0.21739130434782608,0.782608695652174,0.75
5,Body/Design/Ergonomics -SA,12,2,10,3,1503,0.16666666666666666,0.4,0.6,0.8333333333333334
6,Body/Design/I/O Port(s)-SA,1,0,1,0,1517,NA,NA,NA,NA
7,Body/Design/Size-SA,52,29,23,12,1454,0.5576923076923077,0.7073170731707317,0.2926829268292683,0.4423076923076923
8,Body/Design/Weight-SA,9,4,5,4,1505,0.4444444444444444,0.5,0.5,0.5555555555555556
9,Body/Design/Controls/Buttons-SA,6,1,5,3,1509,0.16666666666666666,0.25,0.75,0.8333333333333334
10,Body/Design/Power On/Off-SA,8,1,7,4,1506,0.125,0.2,0.8,0.875
11,Body/Design/Initialization Speed-SA,72,47,25,18,1428,0.6527777777777778,0.7230769230769231,0.27692307692307694,0.3472222222222222
12,Body/Design/Build Quality-SA,67,28,39,30,1421,0.417910447761194,0.4827586206896552,0.5172413793103449,0.582089552238806
13,Body/Design/Audible Noise-SA,103,88,15,40,1375,0.8543689320388349,0.6875,0.3125,0.14563106796116504
14,Body/Design/Indicator Light-SA,6,3,3,0,1512,0.5,1.0,0.0,0.5
15,Body/Design/Unit Locks Up-SA,4,0,4,2,1512,0.0,0.0,1.0,1.0
16,OS Compatibility/Android Compatibility-SA,5,1,4,0,1513,0.2,1.0,0.0,0.8
17,OS Compatibility/iOS Compatibility-SA,28,25,3,3,1487,0.8928571428571429,0.8928571428571429,0.10714285714285714,0.10714285714285714
18,OS Compatibility/Mac Compatibility-SA,65,54,11,6,1447,0.8307692307692308,0.9,0.1,0.16923076923076924
19,OS Compatibility/Windows Compatibility-SA,125,115,10,4,1389,0.92,0.9663865546218487,0.03361344537815126,0.08
20,OS Compatibility/Other OS Compatibility-SA,6,1,5,2,1510,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.8333333333333334
21,OS Compatibility/Windows Mobile Compatibility-SA,0,0,0,0,1518,NA,NA,NA,NA
22,OS Compatibility/Non-Specific O.S. Compatibility-SA,3,0,3,0,1515,NA,NA,NA,NA
23,Print Quality/Color Print Quality-SA,56,34,22,17,1445,0.6071428571428571,0.6666666666666666,0.3333333333333333,0.39285714285714285
24,Print Quality/Overall Print Quality-SA,93,54,39,41,1384,0.5806451612903226,0.5684210526315789,0.43157894736842106,0.41935483870967744
25,Print Quality/Monochrome Print Quality-SA,25,7,18,6,1487,0.28,0.5384615384615384,0.46153846153846156,0.72
26,Print Quality/Print Speed-SA,56,39,17,31,1431,0.6964285714285714,0.5571428571428572,0.44285714285714284,0.30357142857142855
27,Print Quality/Borders/Margins-SA,4,0,4,1,1513,0.0,0.0,1.0,1.0
28,Print Quality/Duplex Printing-SA,19,10,9,4,1495,0.5263157894736842,0.7142857142857143,0.2857142857142857,0.47368421052631576
29,Print Quality/Print Banding-SA,1,0,1,2,1515,0.0,0.0,1.0,1.0
