,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Data Transfer/Transmission/Wireless Range-SA,4,0,4,1,1513,0.0,0.0,1.0,1.0
1,Data Transfer/Transmission/Cloud Connectivity-SA,39,23,16,6,1473,0.5897435897435898,0.7931034482758621,0.20689655172413793,0.41025641025641024
2,Data Transfer/Transmission/Wireless Connectivity-SA,235,186,49,42,1241,0.7914893617021277,0.8157894736842105,0.18421052631578946,0.20851063829787234
3,Data Transfer/Transmission/Wireless Setup-SA,186,146,40,33,1299,0.7849462365591398,0.8156424581005587,0.18435754189944134,0.21505376344086022
4,Data Transfer/Transmission/Data Transfer Error-SA,20,7,13,22,1476,0.35,0.2413793103448276,0.7586206896551724,0.65
5,Body/Design/Ergonomics -SA,12,2,10,9,1497,0.16666666666666666,0.18181818181818182,0.8181818181818182,0.8333333333333334
6,Body/Design/I/O Port(s)-SA,1,0,1,0,1517,NA,NA,NA,NA
7,Body/Design/Size-SA,52,24,28,19,1447,0.46153846153846156,0.5581395348837209,0.4418604651162791,0.5384615384615384
8,Body/Design/Weight-SA,9,4,5,2,1507,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.5555555555555556
9,Body/Design/Controls/Buttons-SA,6,0,6,3,1509,0.0,0.0,1.0,1.0
10,Body/Design/Power On/Off-SA,8,1,7,1,1509,0.125,0.5,0.5,0.875
11,Body/Design/Initialization Speed-SA,72,47,25,23,1423,0.6527777777777778,0.6714285714285714,0.32857142857142857,0.3472222222222222
12,Body/Design/Build Quality-SA,67,31,36,21,1430,0.4626865671641791,0.5961538461538461,0.40384615384615385,0.5373134328358209
13,Body/Design/Audible Noise-SA,103,68,35,8,1407,0.6601941747572816,0.8947368421052632,0.10526315789473684,0.33980582524271846
14,Body/Design/Indicator Light-SA,6,3,3,0,1512,0.5,1.0,0.0,0.5
15,Body/Design/Unit Locks Up-SA,4,0,4,0,1514,NA,NA,NA,NA
16,OS Compatibility/Android Compatibility-SA,5,1,4,3,1510,0.2,0.25,0.75,0.8
17,OS Compatibility/iOS Compatibility-SA,28,18,10,1,1489,0.6428571428571429,0.9473684210526315,0.05263157894736842,0.35714285714285715
18,OS Compatibility/Mac Compatibility-SA,65,46,19,7,1446,0.7076923076923077,0.8679245283018868,0.1320754716981132,0.2923076923076923
19,OS Compatibility/Windows Compatibility-SA,125,113,12,7,1386,0.904,0.9416666666666667,0.058333333333333334,0.096
20,OS Compatibility/Other OS Compatibility-SA,6,0,6,0,1512,NA,NA,NA,NA
21,OS Compatibility/Windows Mobile Compatibility-SA,0,0,0,0,1518,NA,NA,NA,NA
22,OS Compatibility/Non-Specific O.S. Compatibility-SA,3,0,3,0,1515,NA,NA,NA,NA
23,Print Quality/Color Print Quality-SA,56,32,24,14,1448,0.5714285714285714,0.6956521739130435,0.30434782608695654,0.42857142857142855
24,Print Quality/Overall Print Quality-SA,93,48,45,48,1377,0.5161290322580645,0.5,0.5,0.4838709677419355
25,Print Quality/Monochrome Print Quality-SA,25,10,15,11,1482,0.4,0.47619047619047616,0.5238095238095238,0.6
26,Print Quality/Print Speed-SA,56,39,17,28,1434,0.6964285714285714,0.582089552238806,0.417910447761194,0.30357142857142855
27,Print Quality/Borders/Margins-SA,4,0,4,0,1514,NA,NA,NA,NA
28,Print Quality/Duplex Printing-SA,19,7,12,1,1498,0.3684210526315789,0.875,0.125,0.631578947368421
29,Print Quality/Print Banding-SA,1,0,1,1,1516,0.0,0.0,1.0,1.0
30,Print Quality/Print Permanence-SA,0,0,0,0,1518,NA,NA,NA,NA
31,Error Messages/Busy Message-SA,1,1,0,0,1517,1.0,1.0,0.0,0.0
32,Error Messages/Error 1007-SA,3,0,3,1,1514,0.0,0.0,1.0,1.0
33,Error Messages/Error 1008-SA,3,0,3,0,1515,NA,NA,NA,NA
34,Error Messages/Error 1403-SA,1,0,1,0,1517,NA,NA,NA,NA
35,Error Messages/Error 2500-SA,2,0,2,0,1516,NA,NA,NA,NA
36,Error Messages/Error 5011-SA,2,0,2,0,1516,NA,NA,NA,NA
37,Error Messages/Error 5100-SA,0,0,0,0,1518,NA,NA,NA,NA
38,Error Messages/Error 6000-SA,4,2,2,0,1514,0.5,1.0,0.0,0.5
39,Error Messages/Error 6001-SA,2,1,1,0,1516,0.5,1.0,0.0,0.5
40,Error Messages/Error B200-SA,15,9,6,1,1502,0.6,0.9,0.1,0.4
41,Error Messages/Error U052-SA,0,0,0,0,1518,NA,NA,NA,NA
42,Error Messages/Memory Card Error-SA,0,0,0,0,1518,NA,NA,NA,NA
43,Error Messages/Non-specific/Unknown-SA,64,38,26,11,1443,0.59375,0.7755102040816326,0.22448979591836735,0.40625
44,Error Messages/Scanner Error-SA,6,3,3,1,1511,0.5,0.75,0.25,0.5
45,Error Messages/Unrecognized Ink Tank-SA,1,0,1,2,1515,0.0,0.0,1.0,1.0
46,Error Messages/Paper Jam-SA,38,24,14,3,1477,0.631578947368421,0.8888888888888888,0.1111111111111111,0.3684210526315789
47,Ink/Ink Consumption-SA,85,66,19,25,1408,0.7764705882352941,0.7252747252747253,0.27472527472527475,0.2235294117647059
48,Ink/Clogged Nozzles-SA,5,1,4,5,1508,0.2,0.16666666666666666,0.8333333333333334,0.8
49,Ink/Bad Chip-SA,2,0,2,0,1516,NA,NA,NA,NA
50,Ink/Ink Tank Capacity-SA,12,2,10,10,1496,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.8333333333333334
51,Ink/Ink Level Warning-SA,9,4,5,11,1498,0.4444444444444444,0.26666666666666666,0.7333333333333333,0.5555555555555556
52,Printing Media/Paper Feed-SA,89,62,27,29,1400,0.6966292134831461,0.6813186813186813,0.31868131868131866,0.30337078651685395
53,Printing Media/CD/DVD Printing-SA,20,9,11,7,1491,0.45,0.5625,0.4375,0.55
54,Printing Media/Media Size-SA,4,0,4,0,1514,NA,NA,NA,NA
55,Retail Experience/Selling Price-SA,109,85,24,11,1398,0.7798165137614679,0.8854166666666666,0.11458333333333333,0.22018348623853212
56,Customer Care/Agent Follow Up-SA,2,1,1,0,1516,0.5,1.0,0.0,0.5
57,Customer Care/Agent Knowledge-SA,14,5,9,10,1494,0.35714285714285715,0.3333333333333333,0.6666666666666666,0.6428571428571429
58,Customer Care/Email Support-SA,4,0,4,0,1514,NA,NA,NA,NA
59,Customer Care/Hours of Operation-SA,3,0,3,0,1515,NA,NA,NA,NA
60,Customer Care/Warranty Terms-SA,1,0,1,2,1515,0.0,0.0,1.0,1.0
61,Customer Care/Agent Courtesy-SA,6,0,6,3,1509,0.0,0.0,1.0,1.0
62,Customer Care/Non-Canon Repair Service-SA,0,0,0,0,1518,NA,NA,NA,NA
63,Customer Care/Non-Canon Support Service-SA,1,0,1,1,1516,0.0,0.0,1.0,1.0
64,Customer Care/Repair Cost Quote/Fee-SA,1,0,1,0,1517,NA,NA,NA,NA
65,Customer Care/Repair Shipping-SA,0,0,0,0,1518,NA,NA,NA,NA
66,Customer Care/Repair Turnaround Time-SA,0,0,0,0,1518,NA,NA,NA,NA
67,Customer Care/Canon Direct Customer Service-SA,1,0,1,0,1517,NA,NA,NA,NA
68,Customer Care/Service Replacement System-SA,0,0,0,0,1518,NA,NA,NA,NA
