,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,180,45,3,1168,0.8,0.9836065573770492,0.01639344262295082,0.2
1,Wireless Connectivity,241,201,40,48,1107,0.8340248962655602,0.8072289156626506,0.1927710843373494,0.16597510373443983
2,Windows Compatibility,132,116,16,2,1262,0.8787878787878788,0.9830508474576272,0.01694915254237288,0.12121212121212122
3,Selling Price,84,72,12,14,1298,0.8571428571428571,0.8372093023255814,0.16279069767441862,0.14285714285714285
4,Paper Feed,81,61,20,14,1301,0.7530864197530864,0.8133333333333334,0.18666666666666668,0.24691358024691357
5,Overall Print Quality,121,84,37,41,1234,0.6942148760330579,0.672,0.328,0.30578512396694213
6,Non-specific/Unknown,109,59,50,0,1287,0.5412844036697247,1.0,0.0,0.45871559633027525
7,iOS Compatibility,105,97,8,4,1287,0.9238095238095239,0.9603960396039604,0.039603960396039604,0.0761904761904762
8,Ink Consumption,123,105,18,36,1237,0.8536585365853658,0.7446808510638298,0.2553191489361702,0.14634146341463414
9,Competitor Product Comparison,87,75,12,5,1304,0.8620689655172413,0.9375,0.0625,0.13793103448275862
10,Audible Noise,90,43,47,21,1285,0.4777777777777778,0.671875,0.328125,0.5222222222222223
11,Overall Customer Service,76,62,14,7,1313,0.8157894736842105,0.8985507246376812,0.10144927536231885,0.18421052631578946
12,Cloud Connectivity,44,28,16,8,1344,0.6363636363636364,0.7777777777777778,0.2222222222222222,0.36363636363636365
13,Paper Jam,31,17,14,0,1365,0.5483870967741935,1.0,0.0,0.45161290322580644
14,Color Print Quality,46,28,18,17,1333,0.6086956521739131,0.6222222222222222,0.37777777777777777,0.391304347826087
15,Monochrome Print Quality,32,13,19,10,1354,0.40625,0.5652173913043478,0.43478260869565216,0.59375
16,Build Quality,78,19,59,12,1306,0.24358974358974358,0.6129032258064516,0.3870967741935484,0.7564102564102564
17,Print Speed,49,30,19,21,1326,0.6122448979591837,0.5882352941176471,0.4117647058823529,0.3877551020408163
18,CD/DVD Printing,8,1,7,4,1384,0.125,0.2,0.8,0.875
19,Initialization Speed,70,64,6,59,1267,0.9142857142857143,0.5203252032520326,0.4796747967479675,0.08571428571428572
20,Driver Performance,46,35,11,10,1340,0.7608695652173914,0.7777777777777778,0.2222222222222222,0.2391304347826087
21,Overall,1878,1390,488,336,27102,0.7401490947816827,0.8053302433371958,0.19466975666280417,0.2598509052183174
