,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Data Transfer/Transmission/Wireless Range-SA/Positive,1,0,1,0,1517,NA,NA,NA,NA
1,Data Transfer/Transmission/Wireless Range-SA/Negative,2,0,2,0,1516,NA,NA,NA,NA
2,Data Transfer/Transmission/Wireless Range-SA/Neutral,1,0,1,0,1517,NA,NA,NA,NA
3,Data Transfer/Transmission/Cloud Connectivity-SA/Positive,15,0,15,0,1503,NA,NA,NA,NA
4,Data Transfer/Transmission/Cloud Connectivity-SA/Negative,12,0,12,0,1506,NA,NA,NA,NA
5,Data Transfer/Transmission/Cloud Connectivity-SA/Neutral,12,0,12,0,1506,NA,NA,NA,NA
6,Data Transfer/Transmission/Wireless Connectivity-SA/Positive,45,0,45,0,1473,NA,NA,NA,NA
7,Data Transfer/Transmission/Wireless Connectivity-SA/Negative,94,12,82,24,1400,0.1276595744680851,0.3333333333333333,0.6666666666666666,0.8723404255319149
8,Data Transfer/Transmission/Wireless Connectivity-SA/Neutral,100,30,70,26,1392,0.3,0.5357142857142857,0.4642857142857143,0.7
9,Data Transfer/Transmission/Wireless Setup-SA/Positive,60,3,57,1,1457,0.05,0.75,0.25,0.95
10,Data Transfer/Transmission/Wireless Setup-SA/Negative,27,0,27,0,1491,NA,NA,NA,NA
11,Data Transfer/Transmission/Wireless Setup-SA/Neutral,100,5,95,10,1408,0.05,0.3333333333333333,0.6666666666666666,0.95
12,Data Transfer/Transmission/Data Transfer Error-SA/Positive,0,0,0,0,1518,NA,NA,NA,NA
13,Data Transfer/Transmission/Data Transfer Error-SA/Negative,19,0,19,0,1499,NA,NA,NA,NA
14,Data Transfer/Transmission/Data Transfer Error-SA/Neutral,1,0,1,0,1517,NA,NA,NA,NA
15,Body/Design/Ergonomics -SA/Positive,4,0,4,0,1514,NA,NA,NA,NA
16,Body/Design/Ergonomics -SA/Negative,5,0,5,0,1513,NA,NA,NA,NA
17,Body/Design/Ergonomics -SA/Neutral,3,0,3,0,1515,NA,NA,NA,NA
18,Overall,501,50,451,61,26762,0.0998003992015968,0.45045045045045046,0.5495495495495496,0.9001996007984032
